Packet ID                             Action          Delay(in Sec)       Starting Time    Current_time(in Sec)    Switch 1 Queue Length    Switch 2 Queue Length
------------------------------------  --------------  ------------------  ---------------  ----------------------  -----------------------  -----------------------
episode = 0
b070ce1f-0177-4ffd-a785-060f5798c625  sw2 to es3      10.0 (Agent)        27.5             2                       21                       0
10632c4f-fc1e-404e-8538-12b7cbe40d29  es1 to switch1  1.1111111111111112  25               27.77777777777777       22                       0
6848f92f-f560-42ab-a4f0-fe7c6f4d23d0  es1 to switch1  1.1111111111111112  26               28.888888888888882      23                       0
9c6c0ad5-65be-4a28-87d5-0efe123a520f  es1 to switch1  1.1111111111111112  27               29.999999999999993      24                       0
3ef179e9-a72f-42da-8e81-495758f7ad5b  es2 to switch2  2.5                 12               30.0                    25                       0
b826a767-45e0-4390-9662-a796005d1cc2  sw2 to sw1      1.25 (Agent)        11               30.0                    25                       0
40d0ce16-9174-40f6-b134-e9806ec7510a  sw1 to es3      10.0 (Agent)        30.0             10                      24                       0
64550059-32d2-472f-86fc-b739ca4e96c6  sw1 to es3      10.0 (Agent)        30.0             4                       23                       0
c282a75a-fca4-45df-ae18-831ad467512c  sw1 to sw2      1.25 (Agent)        11               30.0                    22                       1
46ae9d05-31ce-4f35-b2f3-b190ed74c59d  sw1 to sw2      1.25 (Agent)        12               30.0                    21                       2
3bdad0f4-1d92-4007-a164-f68ec047dff7  sw1 to es3      10.0 (Agent)        30.0             5                       20                       2
4c05d260-438f-4800-ba0a-bb123bb271d2  sw1 to sw2      1.25 (Agent)        13               30.0                    19                       3
c282a75a-fca4-45df-ae18-831ad467512c  sw2 to es3      10.0 (Agent)        30.0             11                      19                       2
46ae9d05-31ce-4f35-b2f3-b190ed74c59d  sw2 to sw1      1.25 (Agent)        12               30.0                    20                       1
247990a3-3458-4f68-ad65-021d4e7f507a  sw1 to sw2      1.25 (Agent)        14               30.0                    19                       2
4c05d260-438f-4800-ba0a-bb123bb271d2  sw2 to es3      10.0 (Agent)        30.0             13                      19                       1
f70ed2c2-f711-4a76-bca9-369535aa0047  sw1 to sw2      1.25 (Agent)        15               30.0                    18                       2
247990a3-3458-4f68-ad65-021d4e7f507a  sw2 to es3      10.0 (Agent)        30.0             14                      18                       1
d8fb8c15-aa83-40db-92f7-f823eb657ae9  sw1 to sw2      1.25 (Agent)        16               30.0                    17                       2
f70ed2c2-f711-4a76-bca9-369535aa0047  sw2 to sw1      1.25 (Agent)        15               30.0                    18                       1
66713e2f-97d9-48b9-950f-e5ec619b5f41  sw1 to sw2      1.25 (Agent)        17               30.0                    17                       2
d8fb8c15-aa83-40db-92f7-f823eb657ae9  sw2 to sw1      1.25 (Agent)        16               30.0                    18                       1
66713e2f-97d9-48b9-950f-e5ec619b5f41  sw2 to sw1      1.25 (Agent)        17               30.0                    19                       0
15b45034-3429-48d7-b25c-dcdf6f894e34  es1 to switch1  1.1111111111111112  28               31.111111111111104      20                       0
e6818abc-2208-4cb2-92a9-613c94e0bc7d  es1 to switch1  1.1111111111111112  29               32.222222222222214      21                       0
553f1efe-8659-49a9-a534-5a7125fc4dc1  es2 to switch2  2.5                 13               32.5                    21                       0
3ef179e9-a72f-42da-8e81-495758f7ad5b  sw2 to es3      10.0 (Agent)        32.5             12                      21                       0
364aa915-4853-4bba-b951-0d1bfde09f64  sw1 to es3      10.0 (Agent)        32.5             7                       20                       0
c83d3bcf-d689-4e0b-ae75-c3ecb821264c  es1 to switch1  1.1111111111111112  30               33.33333333333333       21                       0
199d8d0a-9a2c-4ef0-9bbe-1a9173c81e6b  es1 to switch1  1.1111111111111112  31               34.44444444444444       22                       0
dc7ca383-ce1c-441e-82e2-e44fd79a377d  es2 to switch2  2.5                 14               35.0                    22                       0
553f1efe-8659-49a9-a534-5a7125fc4dc1  sw2 to es3      10.0 (Agent)        35.0             13                      22                       0
ee66c163-6107-4ad8-8043-440964213d9d  es1 to switch1  1.1111111111111112  32               35.55555555555556       23                       0
01aa5834-af40-43c6-8134-1ac6f71e6d24  es1 to switch1  1.1111111111111112  33               36.66666666666667       24                       0
789794e5-2663-4ab3-be14-5150a2845600  es2 to switch2  2.5                 15               37.5                    24                       0
dc7ca383-ce1c-441e-82e2-e44fd79a377d  sw2 to es3      10.0 (Agent)        37.5             14                      24                       0
1ec6258d-2c03-4f78-8acf-80b54f3cd6c9  sw1 to es3      10.0 (Agent)        37.5             1                       23                       0
368f43f1-d937-4f56-9b14-6c69bb854c54  sw1 to sw2      1.25 (Agent)        18               37.5                    22                       1
2c30c6e0-12a7-4184-921a-ff7b23b3305a  sw1 to es3      10.0 (Agent)        37.5             19                      21                       1
368f43f1-d937-4f56-9b14-6c69bb854c54  sw2 to sw1      1.25 (Agent)        18               37.5                    22                       0
7edf32fe-f13d-46be-868b-5e6bc4d2914a  sw1 to es3      10.0 (Agent)        37.5             8                       21                       0
2ae4f818-00b1-4f09-8206-07dcf872a86a  es1 to switch1  1.1111111111111112  34               37.777777777777786      22                       0
dc1ec901-8a46-4809-8653-3de7325f6b93  es1 to switch1  1.1111111111111112  35               38.8888888888889        23                       0
5f99cb8a-ff58-4eec-bf2d-50b0792fafcc  es2 to switch2  2.5                 16               40.0                    23                       0
789794e5-2663-4ab3-be14-5150a2845600  sw2 to es3      10.0 (Agent)        40.0             15                      23                       0
e83add95-181e-4996-9504-06dd4f78e518  sw1 to es3      10.0 (Agent)        40.0             20                      22                       0
1fad4090-0253-413c-9327-a4093ca7fe3a  es1 to switch1  1.1111111111111112  36               40.000000000000014      23                       0
fc155cf8-8936-4ae6-8c7a-68d9163da917  es1 to switch1  1.1111111111111112  37               41.11111111111113       24                       0
7eb9e14d-de23-4086-974a-f81c6d1e621c  es1 to switch1  1.1111111111111112  38               42.22222222222224       25                       0
c512f266-d69e-4926-9e32-0a50f77df2bd  es2 to switch2  2.5                 17               42.5                    25                       0
5f99cb8a-ff58-4eec-bf2d-50b0792fafcc  sw2 to es3      10.0 (Agent)        42.5             16                      25                       0
29404d6c-0d3a-49b2-abb3-fd103e78857c  es1 to switch1  1.1111111111111112  39               43.33333333333336       26                       0
d14355fa-c917-4b54-8608-fff0a6c3d4fd  es1 to switch1  1.1111111111111112  40               44.44444444444447       27                       0
03a9927b-7024-46b4-8965-208bbc7caa3b  es2 to switch2  2.5                 18               45.0                    27                       0
